,Unnamed: 0,field,section,coverage,classifier,divergent,precision,recall,f1-score,train (Si/No),test (Si/No),pred Si/No,index-feat.comb.,num-features,cand,co-au,cand_comm,comm_cand,BC,CC,cand_other,other_cand,books,articles,other_pubbs,I1,I2,I3,support
315,315,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),7,1,,,,,,X,,,,,,,,,34.0
316,316,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),7,1,,,,,,X,,,,,,,,,34.0
319,319,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),7,1,,,,,,X,,,,,,,,,34.0
600,600,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),12,1,,,,,,,,,,,X,,,,14.0
601,601,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),12,1,,,,,,,,,,,X,,,,14.0
602,602,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),12,1,,,,,,,,,,,X,,,,14.0
603,603,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),12,1,,,,,,,,,,,X,,,,14.0
610,610,10-G1,1,ABC,svm_1,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),12,1,,,,,,,,,,,X,,,,35.0
783,783,10-G1,1,A,svm_0.02,False,0.8392857142857143,0.7857142857142857,0.7551020408163265,9 (7/2),14 (5/9),(2/12),15,1,,,,,,,,,,,,,,X,14.0
784,784,10-G1,1,A,decisionTree,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),15,1,,,,,,,,,,,,,,X,14.0
180,180,10-G1,1,A,svm_1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),19,2,X,,,,X,,,,,,,,,,14.0
181,181,10-G1,1,A,svm_0.5,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),19,2,X,,,,X,,,,,,,,,,14.0
182,182,10-G1,1,A,svm_0.1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),19,2,X,,,,X,,,,,,,,,,14.0
183,183,10-G1,1,A,svm_0.02,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),19,2,X,,,,X,,,,,,,,,,14.0
229,229,13-D4,2,A,decisionTree,False,0.7265902265902265,0.7272727272727273,0.7205244384459655,104 (53/51),55 (23/32),(18/37),19,2,X,,,,X,,,,,,,,,,55.0
239,239,13-D4,2,ABC,decisionTree,False,0.76,0.75,0.735042735042735,108 (53/55),60 (24/36),(15/45),19,2,X,,,,X,,,,,,,,,,60.0
255,255,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),20,2,X,,,,,X,,,,,,,,,34.0
256,256,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),20,2,X,,,,,X,,,,,,,,,34.0
289,289,13-D4,2,A,decisionTree,False,0.7249350649350649,0.7272727272727273,0.7238648196648892,104 (53/51),55 (23/32),(20/35),20,2,X,,,,,X,,,,,,,,,55.0
540,540,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),25,2,X,,,,,,,,,,X,,,,14.0
541,541,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),25,2,X,,,,,,,,,,X,,,,14.0
542,542,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),25,2,X,,,,,,,,,,X,,,,14.0
543,543,10-G1,1,A,svm_0.02,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),25,2,X,,,,,,,,,,X,,,,14.0
600,600,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),26,2,X,,,,,,,,,,,X,,,14.0
601,601,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),26,2,X,,,,,,,,,,,X,,,14.0
602,602,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),26,2,X,,,,,,,,,,,X,,,14.0
603,603,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),26,2,X,,,,,,,,,,,X,,,14.0
660,660,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),27,2,X,,,,,,,,,,,,X,,14.0
661,661,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),27,2,X,,,,,,,,,,,,X,,14.0
662,662,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),27,2,X,,,,,,,,,,,,X,,14.0
720,720,10-G1,1,A,svm_1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),28,2,X,,,,,,,,,,,,,X,14.0
721,721,10-G1,1,A,svm_0.5,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),28,2,X,,,,,,,,,,,,,X,14.0
722,722,10-G1,1,A,svm_0.1,False,0.7821428571428571,0.7857142857142857,0.7794486215538846,9 (7/2),14 (5/9),(4/10),28,2,X,,,,,,,,,,,,,X,14.0
975,975,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),32,2,,X,,,,X,,,,,,,,,34.0
976,976,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),32,2,,X,,,,X,,,,,,,,,34.0
979,979,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),32,2,,X,,,,X,,,,,,,,,34.0
1260,1260,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),37,2,,X,,,,,,,,,X,,,,14.0
1261,1261,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),37,2,,X,,,,,,,,,X,,,,14.0
1262,1262,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),37,2,,X,,,,,,,,,X,,,,14.0
1263,1263,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),37,2,,X,,,,,,,,,X,,,,14.0
1443,1443,10-G1,1,A,svm_0.02,False,0.8392857142857143,0.7857142857142857,0.7551020408163265,9 (7/2),14 (5/9),(2/12),40,2,,X,,,,,,,,,,,,X,14.0
1444,1444,10-G1,1,A,decisionTree,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),40,2,,X,,,,,,,,,,,,X,14.0
1562,1562,10-G1,1,A,svm_0.1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(5/9),42,2,,,X,,X,,,,,,,,,,14.0
1635,1635,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),43,2,,,X,,,X,,,,,,,,,34.0
1636,1636,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),43,2,,,X,,,X,,,,,,,,,34.0
1639,1639,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),43,2,,,X,,,X,,,,,,,,,34.0
1804,1804,10-G1,1,A,decisionTree,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(5/9),46,2,,,X,,,,,,X,,,,,,14.0
2104,2104,10-G1,1,A,decisionTree,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),51,2,,,X,,,,,,,,,,,X,14.0
2235,2235,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),53,2,,,,X,,X,,,,,,,,,34.0
2236,2236,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),53,2,,,,X,,X,,,,,,,,,34.0
2239,2239,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),53,2,,,,X,,X,,,,,,,,,34.0
2521,2521,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),58,2,,,,X,,,,,,,X,,,,14.0
2523,2523,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),58,2,,,,X,,,,,,,X,,,,14.0
2775,2775,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),62,2,,,,,X,X,,,,,,,,,34.0
2776,2776,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),62,2,,,,,X,X,,,,,,,,,34.0
2779,2779,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(18/16),62,2,,,,,X,X,,,,,,,,,34.0
3060,3060,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),67,2,,,,,X,,,,,,X,,,,14.0
3061,3061,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),67,2,,,,,X,,,,,,X,,,,14.0
3062,3062,10-G1,1,A,svm_0.1,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),67,2,,,,,X,,,,,,X,,,,14.0
3063,3063,10-G1,1,A,svm_0.02,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),67,2,,,,,X,,,,,,X,,,,14.0
3315,3315,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),71,2,,,,,,X,X,,,,,,,,34.0
3316,3316,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),71,2,,,,,,X,X,,,,,,,,34.0
3375,3375,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),72,2,,,,,,X,,X,,,,,,,34.0
3376,3376,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),72,2,,,,,,X,,X,,,,,,,34.0
3435,3435,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),73,2,,,,,,X,,,X,,,,,,34.0
3436,3436,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),73,2,,,,,,X,,,X,,,,,,34.0
3439,3439,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),73,2,,,,,,X,,,X,,,,,,34.0
3495,3495,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),74,2,,,,,,X,,,,X,,,,,34.0
3496,3496,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),74,2,,,,,,X,,,,X,,,,,34.0
3540,3540,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),75,2,,,,,,X,,,,,X,,,,14.0
3541,3541,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),75,2,,,,,,X,,,,,X,,,,14.0
3542,3542,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),75,2,,,,,,X,,,,,X,,,,14.0
3543,3543,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),75,2,,,,,,X,,,,,X,,,,14.0
3555,3555,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),75,2,,,,,,X,,,,,X,,,,34.0
3556,3556,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),75,2,,,,,,X,,,,,X,,,,34.0
3559,3559,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(18/16),75,2,,,,,,X,,,,,X,,,,34.0
3615,3615,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),76,2,,,,,,X,,,,,,X,,,34.0
3616,3616,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),76,2,,,,,,X,,,,,,X,,,34.0
3619,3619,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),76,2,,,,,,X,,,,,,X,,,34.0
3675,3675,10-G1,2,A,svm_1,False,0.7616892911010558,0.7352941176470589,0.7318324016616237,14 (8/6),34 (16/18),(21/13),77,2,,,,,,X,,,,,,,X,,34.0
3676,3676,10-G1,2,A,svm_0.5,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),77,2,,,,,,X,,,,,,,X,,34.0
3735,3735,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),78,2,,,,,,X,,,,,,,,X,34.0
3736,3736,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),78,2,,,,,,X,,,,,,,,X,34.0
3739,3739,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),78,2,,,,,,X,,,,,,,,X,34.0
3749,3749,10-G1,2,ABC,decisionTree,False,0.7097334793720336,0.7108433734939759,0.7086058519793458,39 (16/23),83 (37/46),(33/50),78,2,,,,,,X,,,,,,,,X,83.0
4331,4331,10-G1,1,ABC,svm_0.5,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),88,2,,,,,,,,X,,,X,,,,35.0
4333,4333,10-G1,1,ABC,svm_0.02,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),88,2,,,,,,,,X,,,X,,,,35.0
4584,4584,10-G1,2,AB,decisionTree,False,0.7118518518518518,0.7115384615384616,0.7114317425083241,35 (21/14),52 (26/26),(25/27),92,2,,,,,,,,,X,X,,,,,52.0
4620,4620,10-G1,1,A,svm_1,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),93,2,,,,,,,,,X,,X,,,,14.0
4621,4621,10-G1,1,A,svm_0.5,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),93,2,,,,,,,,,X,,X,,,,14.0
4622,4622,10-G1,1,A,svm_0.1,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),93,2,,,,,,,,,X,,X,,,,14.0
4623,4623,10-G1,1,A,svm_0.02,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),93,2,,,,,,,,,X,,X,,,,14.0
4804,4804,10-G1,1,A,decisionTree,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),96,2,,,,,,,,,X,,,,,X,14.0
4860,4860,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),97,2,,,,,,,,,,X,X,,,,14.0
4861,4861,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),97,2,,,,,,,,,,X,X,,,,14.0
4862,4862,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),97,2,,,,,,,,,,X,X,,,,14.0
4863,4863,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),97,2,,,,,,,,,,X,X,,,,14.0
4923,4923,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),98,2,,,,,,,,,,X,,X,,,14.0
5040,5040,10-G1,1,A,svm_1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),100,2,,,,,,,,,,X,,,,X,14.0
5041,5041,10-G1,1,A,svm_0.5,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),100,2,,,,,,,,,,X,,,,X,14.0
5079,5079,13-D4,1,AB,decisionTree,False,0.7286774628879892,0.7179487179487181,0.7190642800398899,76 (35/41),39 (22/17),(19/20),100,2,,,,,,,,,,X,,,,X,39.0
5084,5084,13-D4,1,ABC,decisionTree,False,0.7286774628879892,0.7179487179487181,0.7190642800398899,76 (35/41),39 (22/17),(19/20),100,2,,,,,,,,,,X,,,,X,39.0
5100,5100,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),101,2,,,,,,,,,,,X,X,,,14.0
5101,5101,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),101,2,,,,,,,,,,,X,X,,,14.0
5102,5102,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),101,2,,,,,,,,,,,X,X,,,14.0
5103,5103,10-G1,1,A,svm_0.02,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,9 (7/2),14 (5/9),(8/6),101,2,,,,,,,,,,,X,X,,,14.0
5220,5220,10-G1,1,A,svm_1,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,9 (7/2),14 (5/9),(8/6),103,2,,,,,,,,,,,X,,,X,14.0
5221,5221,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),103,2,,,,,,,,,,,X,,,X,14.0
5222,5222,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),103,2,,,,,,,,,,,X,,,X,14.0
120,120,10-G1,1,A,svm_1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),109,3,X,X,,,X,,,,,,,,,,14.0
121,121,10-G1,1,A,svm_0.5,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),109,3,X,X,,,X,,,,,,,,,,14.0
122,122,10-G1,1,A,svm_0.1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),109,3,X,X,,,X,,,,,,,,,,14.0
123,123,10-G1,1,A,svm_0.02,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),109,3,X,X,,,X,,,,,,,,,,14.0
169,169,13-D4,2,A,decisionTree,False,0.7063264221158957,0.7090909090909091,0.7037942449707156,104 (53/51),55 (23/32),(19/36),109,3,X,X,,,X,,,,,,,,,,55.0
174,174,13-D4,2,AB,decisionTree,False,0.7536487570168404,0.7413793103448276,0.7266526576871404,107 (53/54),58 (24/34),(15/43),109,3,X,X,,,X,,,,,,,,,,58.0
179,179,13-D4,2,ABC,decisionTree,False,0.7363636363636364,0.7333333333333333,0.72,108 (53/55),60 (24/36),(16/44),109,3,X,X,,,X,,,,,,,,,,60.0
195,195,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),110,3,X,X,,,,X,,,,,,,,,34.0
196,196,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),110,3,X,X,,,,X,,,,,,,,,34.0
234,234,13-D4,2,AB,decisionTree,False,0.7238505747126437,0.7241379310344828,0.7156170949274396,107 (53/54),58 (24/34),(18/40),110,3,X,X,,,,X,,,,,,,,,58.0
239,239,13-D4,2,ABC,decisionTree,False,0.7317460317460317,0.7333333333333333,0.7245421245421245,108 (53/55),60 (24/36),(18/42),110,3,X,X,,,,X,,,,,,,,,60.0
480,480,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),115,3,X,X,,,,,,,,,X,,,,14.0
481,481,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),115,3,X,X,,,,,,,,,X,,,,14.0
482,482,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),115,3,X,X,,,,,,,,,X,,,,14.0
483,483,10-G1,1,A,svm_0.02,False,0.8660714285714286,0.7857142857142857,0.7890109890109891,12 (9/3),14 (5/9),(8/6),115,3,X,X,,,,,,,,,X,,,,14.0
540,540,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),116,3,X,X,,,,,,,,,,X,,,14.0
541,541,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),116,3,X,X,,,,,,,,,,X,,,14.0
542,542,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),116,3,X,X,,,,,,,,,,X,,,14.0
543,543,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),116,3,X,X,,,,,,,,,,X,,,14.0
600,600,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),117,3,X,X,,,,,,,,,,,X,,14.0
601,601,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),117,3,X,X,,,,,,,,,,,X,,14.0
602,602,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),117,3,X,X,,,,,,,,,,,X,,14.0
660,660,10-G1,1,A,svm_1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),118,3,X,X,,,,,,,,,,,,X,14.0
661,661,10-G1,1,A,svm_0.5,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(5/9),118,3,X,X,,,,,,,,,,,,X,14.0
662,662,10-G1,1,A,svm_0.1,False,0.7821428571428571,0.7857142857142857,0.7794486215538846,9 (7/2),14 (5/9),(4/10),118,3,X,X,,,,,,,,,,,,X,14.0
782,782,10-G1,1,A,svm_0.1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),120,3,X,,X,,X,,,,,,,,,,14.0
783,783,10-G1,1,A,svm_0.02,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),120,3,X,,X,,X,,,,,,,,,,14.0
855,855,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),121,3,X,,X,,,X,,,,,,,,,34.0
856,856,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),121,3,X,,X,,,X,,,,,,,,,34.0
899,899,13-D4,2,ABC,decisionTree,False,0.7317460317460317,0.7333333333333333,0.7245421245421245,108 (53/55),60 (24/36),(18/42),121,3,X,,X,,,X,,,,,,,,,60.0
1082,1082,10-G1,1,A,svm_0.1,False,0.7551020408163264,0.7142857142857143,0.7202380952380951,12 (9/3),14 (5/9),(7/7),125,3,X,,X,,,,,,,X,,,,,14.0
1140,1140,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),126,3,X,,X,,,,,,,,X,,,,14.0
1141,1141,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),126,3,X,,X,,,,,,,,X,,,,14.0
1142,1142,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),126,3,X,,X,,,,,,,,X,,,,14.0
1143,1143,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),126,3,X,,X,,,,,,,,X,,,,14.0
1155,1155,10-G1,2,A,svm_1,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(16/18),126,3,X,,X,,,,,,,,X,,,,34.0
1156,1156,10-G1,2,A,svm_0.5,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(16/18),126,3,X,,X,,,,,,,,X,,,,34.0
1201,1201,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),127,3,X,,X,,,,,,,,,X,,,14.0
1202,1202,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),127,3,X,,X,,,,,,,,,X,,,14.0
1203,1203,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),127,3,X,,X,,,,,,,,,X,,,14.0
