cov_sect,term,role,field,id,name,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
A,5,FP,13-D4,75583,75583_MORIGGIA_Vittorio,27,18,15,27,0.84375,0.5625,0.46875,0.84375,32
A,5,FP,13-D4,77837,77837_DE_MARCO_Giuseppe,24,25,23,25,0.96,1.0,0.92,1.0,25
A,5,FP,13-D4,79863,79863_PINAR_Mustafa,42,41,43,44,0.875,0.8541666666666666,0.8958333333333334,0.9166666666666666,48
A,5,FP,13-D4,80604,80604_BIAGINI_Sara,15,10,13,15,0.9375,0.625,0.8125,0.9375,16
A,5,FP,13-D4,82835,82835_UBERTI_Mariacristina,22,24,20,24,0.8148148148148148,0.8888888888888888,0.7407407407407407,0.8888888888888888,27
A,5,FP,13-D4,83309,83309_SEMERARO_Patrizia,21,21,18,25,0.84,0.84,0.72,1.0,25
A,5,FP,13-D4,85138,85138_BATTAUZ_Anna,14,14,12,16,0.875,0.875,0.75,1.0,16
A,5,FP,13-D4,86071,86071_PRIVILEGGI_Fabio,14,14,14,14,1.0,1.0,1.0,1.0,14
A,5,FP,13-D4,86957,86957_FERRARI_Giorgio,12,11,12,12,1.0,0.9166666666666666,1.0,1.0,12
A,5,FP,13-D4,87833,87833_MULINACCI_Sabrina,17,19,15,18,0.85,0.95,0.75,0.9,20
A,5,FP,13-D4,89628,89628_RUSSO_Emilio,17,17,17,17,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
A,5,FP,13-D4,91316,91316_RICCARDI_Rossana,15,14,14,16,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.8888888888888888,18
A,5,FP,13-D4,91546,91546_MANCINI_Cecilia,16,14,14,17,0.9411764705882353,0.8235294117647058,0.8235294117647058,1.0,17
A,5,FP,13-D4,91965,91965_OGGIONI_Giorgia,20,21,18,20,0.9523809523809523,1.0,0.8571428571428571,0.9523809523809523,21
A,5,FP,13-D4,92620,92620_GROSSI_Luigi,39,33,30,40,0.8863636363636364,0.75,0.6818181818181818,0.9090909090909091,44
A,5,FP,13-D4,93128,93128_GRASSI_Rosanna,21,19,20,21,1.0,0.9047619047619048,0.9523809523809523,1.0,21
A,5,FP,13-D4,93459,93459_MAGGI_Mario_Alessandro,19,16,16,19,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,24
A,5,FP,13-D4,94000,94000_ARLOTTO_Alessandro,12,12,12,12,1.0,1.0,1.0,1.0,12
A,5,FP,13-D4,94345,94345_NAIMZADA_Ahmad_Kabir,63,63,63,66,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,66
A,5,FP,13-D4,94616,94616_GNECCO_Giorgio_Stefano,68,66,65,68,0.9577464788732394,0.9295774647887324,0.9154929577464789,0.9577464788732394,71
A,5,FP,13-D4,94866,94866_GUERRA_Maria_Letizia,18,19,15,19,0.8571428571428571,0.9047619047619048,0.7142857142857143,0.9047619047619048,21
A,5,FP,13-D4,96502,96502_CESARONE_Francesco,17,16,13,18,0.9444444444444444,0.8888888888888888,0.7222222222222222,1.0,18
A,5,FP,13-D4,96892,96892_MARAZZINA_Daniele,18,18,18,18,1.0,1.0,1.0,1.0,18
A,5,FP,13-D4,97473,97473_FONTANA_Claudio,15,16,16,16,0.9375,1.0,1.0,1.0,16
A,5,FP,13-D4,97562,97562_SPAGNOLO_Nicola,37,37,39,46,0.7872340425531915,0.7872340425531915,0.8297872340425532,0.9787234042553191,47
A,5,FP,13-D4,99352,99352_MAGGIONI_Francesca,35,28,28,35,1.0,0.8,0.8,1.0,35
A,5,FP,13-D4,99702,99702_RUSSU_Paolo,29,29,26,31,0.8055555555555556,0.8055555555555556,0.7222222222222222,0.8611111111111112,36
A,5,AP,10-G1,100832,100832_ROMOLI_Jacopo,12,13,13,13,0.9230769230769231,1.0,1.0,1.0,13
C,5,AP,10-G1,101100,101100_LONGOBARDI_Ferdinando,0,0,0,0,0.0,0.0,0.0,0.0,11
C,5,AP,10-G1,101335,101335_SCARPANTI_Edoardo,0,2,0,1,0.0,0.13333333333333333,0.0,0.06666666666666667,15
A,5,AP,10-G1,102637,102637_BOCCI_Giuliano,11,12,8,12,0.9166666666666666,1.0,0.6666666666666666,1.0,12
A,5,AP,10-G1,104254,104254_MOCCIARO_Egle,19,10,7,19,0.7916666666666666,0.4166666666666667,0.2916666666666667,0.7916666666666666,24
A,5,AP,10-G1,104308,104308_PANIZZA_Daniele,6,5,5,6,0.75,0.625,0.625,0.75,8
A,5,AP,10-G1,105051,105051_TURCO_Giuseppina,6,7,6,6,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,9
C,5,AP,10-G1,105491,105491_REINHARDT_Michaela,1,1,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
C,5,AP,10-G1,74788,74788_LAFE_Genc,1,0,0,1,0.05555555555555555,0.0,0.0,0.05555555555555555,18
C,5,AP,10-G1,75064,75064_BIANCHI_Angela,5,0,0,5,0.4166666666666667,0.0,0.0,0.4166666666666667,12
C,5,AP,10-G1,75492,75492_ABBATICCHIO_Rossella,2,0,0,2,0.14285714285714285,0.0,0.0,0.14285714285714285,14
C,5,AP,10-G1,75797,75797_SUTA_Blerina,0,0,0,0,0.0,0.0,0.0,0.0,18
A,5,AP,10-G1,75871,75871_KEIDAN_Artemij,9,8,3,12,0.6428571428571429,0.5714285714285714,0.21428571428571427,0.8571428571428571,14
A,5,AP,10-G1,75901,75901_FIORIN_Gaetano,14,12,11,16,0.7368421052631579,0.631578947368421,0.5789473684210527,0.8421052631578947,19
C,5,AP,10-G1,76379,76379_MARMIROLI_Lorenzo,0,5,1,1,0.0,0.5,0.1,0.1,10
A,5,AP,10-G1,76387,76387_STRIK_LIEVERS_Francesca,9,4,4,9,0.75,0.3333333333333333,0.3333333333333333,0.75,12
C,5,AP,10-G1,76644,76644_CALI_Edmond,0,0,0,0,0.0,0.0,0.0,0.0,20
A,5,AP,10-G1,76671,76671_CASALICCHIO_Jan,14,9,3,14,0.9333333333333333,0.6,0.2,0.9333333333333333,15
A,5,AP,10-G1,76945,76945_GALLINA_Francesca,10,2,0,10,0.7142857142857143,0.14285714285714285,0.0,0.7142857142857143,14
A,5,AP,10-G1,77045,77045_GOBBO_Federico,17,17,10,19,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.7916666666666666,24
C,5,AP,10-G1,77323,77323_TOMATIS_Marco_Stefano,6,8,0,6,0.5,0.6666666666666666,0.0,0.5,12
A,5,AP,10-G1,77938,77938_BORGHETTI_Claudia,13,16,8,13,0.8125,1.0,0.5,0.8125,16
C,5,AP,10-G1,78203,78203_ROCCAFORTE_Maria,2,0,1,3,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,13
A,5,AP,10-G1,78538,78538_CANAL_Paolo,10,10,10,10,1.0,1.0,1.0,1.0,10
A,5,AP,10-G1,78680,78680_CARDINI_Filippo-enrico,6,5,4,6,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,7
B,5,AP,10-G1,79116,79116_LARA_BERMEJO_Victor,7,12,6,8,0.5,0.8571428571428571,0.42857142857142855,0.5714285714285714,14
A,5,AP,10-G1,79144,79144_GARZONIO_Jacopo,19,9,6,19,0.8260869565217391,0.391304347826087,0.2608695652173913,0.8260869565217391,23
B,5,AP,10-G1,80259,80259_CAVIRANI_Edoardo,5,6,3,5,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.5555555555555556,9
C,5,AP,10-G1,80720,80720_MASSARELLI_Riccardo,2,0,0,2,0.15384615384615385,0.0,0.0,0.15384615384615385,13
C,5,AP,10-G1,80941,80941_VESSELLA_Carlo,1,2,2,2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,15
C,5,AP,10-G1,81464,81464_TOMASSETTI_Roberto,0,1,1,1,0.0,0.0625,0.0625,0.0625,16
