dataset,cov_sect,role,field,coverage%,coverage
OA,A,FP,10-G1,0.4827586206896552,14
CR,A,FP,10-G1,0.3793103448275862,11
comb,A,FP,10-G1,0.9655172413793104,28
MAG,C,FP,10-G1,0.20588235294117646,7
OA,C,FP,10-G1,0.08823529411764706,3
CR,C,FP,10-G1,0.0,0
comb,C,FP,10-G1,0.20588235294117646,7
MAG,B,FP,10-G1,0.41818181818181815,23
OA,B,FP,10-G1,0.5272727272727272,29
CR,B,FP,10-G1,0.2,11
comb,B,FP,10-G1,0.4727272727272727,26
MAG,B,FP,10-G1,0.14814814814814814,8
OA,B,FP,10-G1,0.05555555555555555,3
CR,B,FP,10-G1,0.018518518518518517,1
comb,B,FP,10-G1,0.18518518518518517,10
MAG,A,FP,10-G1,0.8620689655172413,25
OA,A,FP,10-G1,0.10344827586206896,3
CR,A,FP,10-G1,0.10344827586206896,3
comb,A,FP,10-G1,0.8620689655172413,25
MAG,B,FP,10-G1,0.40816326530612246,20
OA,B,FP,10-G1,0.42857142857142855,21
CR,B,FP,10-G1,0.3877551020408163,19
comb,B,FP,10-G1,0.5918367346938775,29
MAG,A,FP,10-G1,0.5833333333333334,7
OA,A,FP,10-G1,0.75,9
CR,A,FP,10-G1,0.4166666666666667,5
comb,A,FP,10-G1,0.6666666666666666,8
MAG,B,FP,10-G1,0.5084745762711864,30
OA,B,FP,10-G1,0.11864406779661017,7
CR,B,FP,10-G1,0.0847457627118644,5
comb,B,FP,10-G1,0.5254237288135594,31
MAG,B,FP,10-G1,0.5625,9
OA,B,FP,10-G1,0.3125,5
CR,B,FP,10-G1,0.25,4
comb,B,FP,10-G1,0.5625,9
MAG,A,FP,13-D4,1.0,19
OA,A,FP,13-D4,0.7894736842105263,15
CR,A,FP,13-D4,0.8421052631578947,16
comb,A,FP,13-D4,1.0,19
MAG,A,FP,13-D4,0.8421052631578947,16
OA,A,FP,13-D4,0.7894736842105263,15
CR,A,FP,13-D4,0.8421052631578947,16
comb,A,FP,13-D4,0.8947368421052632,17
MAG,A,FP,13-D4,0.84,42
OA,A,FP,13-D4,0.82,41
CR,A,FP,13-D4,0.64,32
comb,A,FP,13-D4,0.9,45
MAG,A,FP,13-D4,0.9444444444444444,17
OA,A,FP,13-D4,0.9444444444444444,17
CR,A,FP,13-D4,0.7777777777777778,14
comb,A,FP,13-D4,1.0,18
MAG,A,FP,13-D4,1.0,53
OA,A,FP,13-D4,0.8679245283018868,46
CR,A,FP,13-D4,0.9811320754716981,52
comb,A,FP,13-D4,1.0,53
MAG,A,FP,13-D4,0.9508196721311475,58
OA,A,FP,13-D4,0.9016393442622951,55
CR,A,FP,13-D4,0.8852459016393442,54
comb,A,FP,13-D4,0.9508196721311475,58
MAG,A,FP,13-D4,0.8888888888888888,24
OA,A,FP,13-D4,0.8888888888888888,24
CR,A,FP,13-D4,0.8888888888888888,24
comb,A,FP,13-D4,0.9629629629629629,26
MAG,A,FP,13-D4,0.8,16
OA,A,FP,13-D4,0.9,18
CR,A,FP,13-D4,0.9,18
comb,A,FP,13-D4,0.9,18
MAG,A,FP,13-D4,0.8461538461538461,11
OA,A,FP,13-D4,0.8461538461538461,11
CR,A,FP,13-D4,0.8461538461538461,11
comb,A,FP,13-D4,0.8461538461538461,11
MAG,A,FP,13-D4,0.047619047619047616,1
OA,A,FP,13-D4,0.9523809523809523,20
CR,A,FP,13-D4,0.9523809523809523,20
comb,A,FP,13-D4,0.9523809523809523,20
MAG,A,AP,10-G1,0.9629629629629629,26
OA,A,AP,10-G1,0.14814814814814814,4
CR,A,AP,10-G1,0.14814814814814814,4
comb,A,AP,10-G1,0.9629629629629629,26
MAG,C,AP,10-G1,0.3,3
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.3,3
MAG,C,AP,10-G1,0.42857142857142855,6
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.42857142857142855,6
MAG,C,AP,10-G1,0.15,3
OA,C,AP,10-G1,0.1,2
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.15,3
MAG,A,AP,10-G1,0.8181818181818182,9
OA,A,AP,10-G1,0.6363636363636364,7
CR,A,AP,10-G1,0.2727272727272727,3
comb,A,AP,10-G1,0.8181818181818182,9
MAG,A,AP,10-G1,0.782608695652174,18
OA,A,AP,10-G1,0.391304347826087,9
CR,A,AP,10-G1,0.5217391304347826,12
comb,A,AP,10-G1,0.9130434782608695,21
MAG,A,AP,10-G1,0.8181818181818182,18
OA,A,AP,10-G1,0.4090909090909091,9
CR,A,AP,10-G1,0.5,11
comb,A,AP,10-G1,0.9090909090909091,20
MAG,A,AP,10-G1,0.5833333333333334,7
OA,A,AP,10-G1,0.75,9
CR,A,AP,10-G1,0.4166666666666667,5
comb,A,AP,10-G1,0.6666666666666666,8
MAG,B,AP,10-G1,0.4583333333333333,11
OA,B,AP,10-G1,0.5833333333333334,14
CR,B,AP,10-G1,0.4583333333333333,11
comb,B,AP,10-G1,0.5416666666666666,13
MAG,A,AP,10-G1,0.5,7
OA,A,AP,10-G1,0.5,7
CR,A,AP,10-G1,0.2857142857142857,4
comb,A,AP,10-G1,0.6428571428571429,9
MAG,A,AP,10-G1,0.8636363636363636,19
OA,A,AP,10-G1,0.7272727272727273,16
CR,A,AP,10-G1,0.13636363636363635,3
comb,A,AP,10-G1,0.9090909090909091,20
MAG,C,AP,10-G1,0.2777777777777778,5
OA,C,AP,10-G1,0.2222222222222222,4
CR,C,AP,10-G1,0.1111111111111111,2
comb,C,AP,10-G1,0.2777777777777778,5
MAG,B,AP,10-G1,0.5,3
OA,B,AP,10-G1,0.3333333333333333,2
CR,B,AP,10-G1,0.3333333333333333,2
comb,B,AP,10-G1,0.5,3
MAG,A,AP,10-G1,0.75,15
OA,A,AP,10-G1,0.55,11
CR,A,AP,10-G1,0.35,7
comb,A,AP,10-G1,0.75,15
MAG,C,AP,10-G1,0.0,0
OA,C,AP,10-G1,0.2222222222222222,2
CR,C,AP,10-G1,0.1111111111111111,1
comb,C,AP,10-G1,0.2222222222222222,2
MAG,A,AP,13-D4,0.625,5
OA,A,AP,13-D4,0.875,7
CR,A,AP,13-D4,0.75,6
comb,A,AP,13-D4,0.875,7
MAG,B,AP,13-D4,0.3181818181818182,7
OA,B,AP,13-D4,0.3181818181818182,7
CR,B,AP,13-D4,0.22727272727272727,5
comb,B,AP,13-D4,0.45454545454545453,10
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.9090909090909091,10
CR,A,AP,13-D4,0.8181818181818182,9
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,1.0,12
OA,A,AP,13-D4,0.6666666666666666,8
CR,A,AP,13-D4,0.5,6
comb,A,AP,13-D4,1.0,12
MAG,A,AP,13-D4,1.0,24
OA,A,AP,13-D4,1.0,24
CR,A,AP,13-D4,0.9166666666666666,22
comb,A,AP,13-D4,1.0,24
MAG,A,AP,13-D4,1.0,12
OA,A,AP,13-D4,0.9166666666666666,11
CR,A,AP,13-D4,0.8333333333333334,10
comb,A,AP,13-D4,1.0,12
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.9090909090909091,10
CR,A,AP,13-D4,1.0,11
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,1.0,10
CR,A,AP,13-D4,0.8,8
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.9444444444444444,17
OA,A,AP,13-D4,0.9444444444444444,17
CR,A,AP,13-D4,0.8888888888888888,16
comb,A,AP,13-D4,0.9444444444444444,17
MAG,A,AP,13-D4,0.8235294117647058,14
OA,A,AP,13-D4,0.4117647058823529,7
CR,A,AP,13-D4,0.35294117647058826,6
comb,A,AP,13-D4,0.8235294117647058,14
MAG,A,AP,13-D4,0.7272727272727273,8
OA,A,AP,13-D4,0.8181818181818182,9
CR,A,AP,13-D4,0.6363636363636364,7
comb,A,AP,13-D4,0.8181818181818182,9
MAG,A,AP,13-D4,0.8666666666666667,13
OA,A,AP,13-D4,0.8,12
CR,A,AP,13-D4,0.8,12
comb,A,AP,13-D4,0.9333333333333333,14
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.9090909090909091,10
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,1.0,11
MAG,B,AP,13-D4,0.18181818181818182,2
OA,B,AP,13-D4,0.2727272727272727,3
CR,B,AP,13-D4,0.2727272727272727,3
comb,B,AP,13-D4,0.2727272727272727,3
MAG,A,AP,13-D4,1.0,27
OA,A,AP,13-D4,0.9629629629629629,26
CR,A,AP,13-D4,0.8518518518518519,23
comb,A,AP,13-D4,1.0,27
MAG,C,FP,10-G1,0.2692307692307692,7
OA,C,FP,10-G1,0.038461538461538464,1
CR,C,FP,10-G1,0.0,0
comb,C,FP,10-G1,0.2692307692307692,7
MAG,A,FP,10-G1,0.85,34
OA,A,FP,10-G1,0.15,6
CR,A,FP,10-G1,0.05,2
comb,A,FP,10-G1,0.85,34
MAG,A,FP,10-G1,0.8333333333333334,35
OA,A,FP,10-G1,0.38095238095238093,16
CR,A,FP,10-G1,0.23809523809523808,10
comb,A,FP,10-G1,0.8809523809523809,37
MAG,A,FP,10-G1,0.7857142857142857,22
OA,A,FP,10-G1,0.7857142857142857,22
CR,A,FP,10-G1,0.10714285714285714,3
comb,A,FP,10-G1,0.8571428571428571,24
MAG,A,FP,13-D4,0.9655172413793104,56
OA,A,FP,13-D4,0.8620689655172413,50
CR,A,FP,13-D4,0.896551724137931,52
comb,A,FP,13-D4,0.9655172413793104,56
MAG,A,FP,13-D4,0.8387096774193549,26
OA,A,FP,13-D4,0.8709677419354839,27
CR,A,FP,13-D4,0.9032258064516129,28
comb,A,FP,13-D4,1.0,31
MAG,A,FP,13-D4,1.0,19
OA,A,FP,13-D4,1.0,19
CR,A,FP,13-D4,1.0,19
comb,A,FP,13-D4,1.0,19
MAG,C,AP,10-G1,0.05263157894736842,1
OA,C,AP,10-G1,0.10526315789473684,2
CR,C,AP,10-G1,0.05263157894736842,1
comb,C,AP,10-G1,0.15789473684210525,3
MAG,B,AP,10-G1,0.16,4
OA,B,AP,10-G1,0.16,4
CR,B,AP,10-G1,0.12,3
comb,B,AP,10-G1,0.24,6
MAG,C,AP,10-G1,0.13636363636363635,3
OA,C,AP,10-G1,0.18181818181818182,4
CR,C,AP,10-G1,0.13636363636363635,3
comb,C,AP,10-G1,0.13636363636363635,3
MAG,C,AP,10-G1,0.23076923076923078,3
OA,C,AP,10-G1,0.3076923076923077,4
CR,C,AP,10-G1,0.3076923076923077,4
comb,C,AP,10-G1,0.38461538461538464,5
MAG,B,AP,10-G1,0.2631578947368421,5
OA,B,AP,10-G1,0.05263157894736842,1
CR,B,AP,10-G1,0.2631578947368421,5
comb,B,AP,10-G1,0.47368421052631576,9
MAG,B,AP,10-G1,0.6551724137931034,19
OA,B,AP,10-G1,0.06896551724137931,2
CR,B,AP,10-G1,0.06896551724137931,2
comb,B,AP,10-G1,0.6551724137931034,19
MAG,A,AP,13-D4,0.8947368421052632,17
OA,A,AP,13-D4,0.9473684210526315,18
CR,A,AP,13-D4,0.8421052631578947,16
comb,A,AP,13-D4,0.8947368421052632,17
MAG,A,AP,13-D4,0.75,6
OA,A,AP,13-D4,0.875,7
CR,A,AP,13-D4,0.75,6
comb,A,AP,13-D4,0.75,6
MAG,A,AP,13-D4,0.15217391304347827,7
OA,A,AP,13-D4,0.9565217391304348,44
CR,A,AP,13-D4,0.9347826086956522,43
comb,A,AP,13-D4,0.9347826086956522,43
MAG,A,AP,13-D4,0.8235294117647058,14
OA,A,AP,13-D4,0.5882352941176471,10
CR,A,AP,13-D4,0.5294117647058824,9
comb,A,AP,13-D4,0.9411764705882353,16
MAG,A,FP,10-G1,0.6296296296296297,17
OA,A,FP,10-G1,0.18518518518518517,5
CR,A,FP,10-G1,0.1111111111111111,3
comb,A,FP,10-G1,0.6666666666666666,18
MAG,C,FP,10-G1,0.1568627450980392,8
OA,C,FP,10-G1,0.0392156862745098,2
CR,C,FP,10-G1,0.0196078431372549,1
comb,C,FP,10-G1,0.17647058823529413,9
MAG,A,FP,10-G1,0.9142857142857143,32
OA,A,FP,10-G1,0.5714285714285714,20
CR,A,FP,10-G1,0.5142857142857142,18
comb,A,FP,10-G1,0.9428571428571428,33
MAG,C,FP,10-G1,0.1590909090909091,7
OA,C,FP,10-G1,0.11363636363636363,5
CR,C,FP,10-G1,0.045454545454545456,2
comb,C,FP,10-G1,0.22727272727272727,10
MAG,C,FP,10-G1,0.0625,2
OA,C,FP,10-G1,0.03125,1
CR,C,FP,10-G1,0.03125,1
comb,C,FP,10-G1,0.0625,2
MAG,B,FP,10-G1,0.2542372881355932,15
OA,B,FP,10-G1,0.13559322033898305,8
CR,B,FP,10-G1,0.15254237288135594,9
comb,B,FP,10-G1,0.3050847457627119,18
MAG,C,FP,10-G1,0.3548387096774194,11
OA,C,FP,10-G1,0.12903225806451613,4
CR,C,FP,10-G1,0.16129032258064516,5
comb,C,FP,10-G1,0.41935483870967744,13
MAG,B,FP,10-G1,0.3225806451612903,10
OA,B,FP,10-G1,0.3870967741935484,12
CR,B,FP,10-G1,0.3548387096774194,11
comb,B,FP,10-G1,0.45161290322580644,14
MAG,A,FP,13-D4,0.7619047619047619,32
OA,A,FP,13-D4,0.8809523809523809,37
CR,A,FP,13-D4,0.7619047619047619,32
comb,A,FP,13-D4,0.8095238095238095,34
MAG,A,FP,13-D4,0.9130434782608695,21
OA,A,FP,13-D4,0.9565217391304348,22
CR,A,FP,13-D4,0.8260869565217391,19
comb,A,FP,13-D4,0.9130434782608695,21
MAG,A,FP,13-D4,0.8333333333333334,15
OA,A,FP,13-D4,0.6666666666666666,12
CR,A,FP,13-D4,0.5555555555555556,10
comb,A,FP,13-D4,0.8888888888888888,16
MAG,A,FP,13-D4,0.8333333333333334,45
OA,A,FP,13-D4,0.8333333333333334,45
CR,A,FP,13-D4,0.8333333333333334,45
comb,A,FP,13-D4,0.9074074074074074,49
MAG,A,FP,13-D4,0.8823529411764706,15
OA,A,FP,13-D4,0.8823529411764706,15
CR,A,FP,13-D4,0.7647058823529411,13
comb,A,FP,13-D4,1.0,17
MAG,A,FP,13-D4,0.9523809523809523,20
OA,A,FP,13-D4,1.0,21
CR,A,FP,13-D4,0.9523809523809523,20
comb,A,FP,13-D4,0.9523809523809523,20
MAG,A,FP,13-D4,0.85,17
OA,A,FP,13-D4,0.9,18
CR,A,FP,13-D4,0.95,19
comb,A,FP,13-D4,0.95,19
MAG,A,FP,13-D4,0.8,36
OA,A,FP,13-D4,0.9333333333333333,42
CR,A,FP,13-D4,0.8222222222222222,37
comb,A,FP,13-D4,0.9333333333333333,42
MAG,A,FP,13-D4,0.8095238095238095,17
OA,A,FP,13-D4,0.8571428571428571,18
CR,A,FP,13-D4,0.8095238095238095,17
comb,A,FP,13-D4,0.8571428571428571,18
MAG,B,FP,13-D4,0.5714285714285714,24
OA,B,FP,13-D4,0.6666666666666666,28
CR,B,FP,13-D4,0.38095238095238093,16
comb,B,FP,13-D4,0.5714285714285714,24
MAG,A,FP,13-D4,0.782608695652174,18
OA,A,FP,13-D4,0.782608695652174,18
CR,A,FP,13-D4,0.7391304347826086,17
comb,A,FP,13-D4,0.8695652173913043,20
MAG,A,FP,13-D4,0.696969696969697,23
OA,A,FP,13-D4,0.6666666666666666,22
CR,A,FP,13-D4,0.5454545454545454,18
comb,A,FP,13-D4,0.7575757575757576,25
MAG,A,FP,13-D4,0.9259259259259259,25
OA,A,FP,13-D4,0.8888888888888888,24
CR,A,FP,13-D4,0.8888888888888888,24
comb,A,FP,13-D4,1.0,27
MAG,A,FP,13-D4,0.8717948717948718,34
OA,A,FP,13-D4,0.5128205128205128,20
CR,A,FP,13-D4,0.5128205128205128,20
comb,A,FP,13-D4,0.8717948717948718,34
MAG,A,AP,10-G1,0.8,8
OA,A,AP,10-G1,0.5,5
CR,A,AP,10-G1,0.0,0
comb,A,AP,10-G1,0.8,8
MAG,C,AP,10-G1,0.2,3
OA,C,AP,10-G1,0.26666666666666666,4
CR,C,AP,10-G1,0.26666666666666666,4
comb,C,AP,10-G1,0.26666666666666666,4
MAG,B,AP,10-G1,0.26666666666666666,8
OA,B,AP,10-G1,0.23333333333333334,7
CR,B,AP,10-G1,0.26666666666666666,8
comb,B,AP,10-G1,0.3333333333333333,10
MAG,C,AP,10-G1,0.07142857142857142,1
OA,C,AP,10-G1,0.07142857142857142,1
CR,C,AP,10-G1,0.07142857142857142,1
comb,C,AP,10-G1,0.14285714285714285,2
MAG,C,AP,10-G1,0.2727272727272727,3
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.2727272727272727,3
MAG,C,AP,10-G1,0.16666666666666666,2
OA,C,AP,10-G1,0.16666666666666666,2
CR,C,AP,10-G1,0.08333333333333333,1
comb,C,AP,10-G1,0.25,3
MAG,A,AP,10-G1,0.7692307692307693,10
OA,A,AP,10-G1,0.8461538461538461,11
CR,A,AP,10-G1,0.5384615384615384,7
comb,A,AP,10-G1,0.8461538461538461,11
MAG,C,AP,10-G1,0.4375,7
OA,C,AP,10-G1,0.25,4
CR,C,AP,10-G1,0.3125,5
comb,C,AP,10-G1,0.5,8
MAG,C,AP,10-G1,0.16666666666666666,3
OA,C,AP,10-G1,0.16666666666666666,3
CR,C,AP,10-G1,0.1111111111111111,2
comb,C,AP,10-G1,0.2222222222222222,4
MAG,C,AP,10-G1,0.36363636363636365,4
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.36363636363636365,4
MAG,C,AP,10-G1,0.0,0
OA,C,AP,10-G1,0.23076923076923078,3
CR,C,AP,10-G1,0.07692307692307693,1
comb,C,AP,10-G1,0.07692307692307693,1
MAG,A,AP,10-G1,0.8095238095238095,17
OA,A,AP,10-G1,0.42857142857142855,9
CR,A,AP,10-G1,0.42857142857142855,9
comb,A,AP,10-G1,0.8571428571428571,18
MAG,C,AP,10-G1,0.3333333333333333,4
OA,C,AP,10-G1,0.08333333333333333,1
CR,C,AP,10-G1,0.16666666666666666,2
comb,C,AP,10-G1,0.3333333333333333,4
MAG,C,AP,10-G1,0.04,1
OA,C,AP,10-G1,0.2,5
CR,C,AP,10-G1,0.16,4
comb,C,AP,10-G1,0.16,4
MAG,A,AP,10-G1,0.782608695652174,18
OA,A,AP,10-G1,0.391304347826087,9
CR,A,AP,10-G1,0.21739130434782608,5
comb,A,AP,10-G1,0.782608695652174,18
MAG,A,AP,10-G1,0.6818181818181818,15
OA,A,AP,10-G1,0.5,11
CR,A,AP,10-G1,0.45454545454545453,10
comb,A,AP,10-G1,0.9090909090909091,20
MAG,C,AP,10-G1,0.05,1
OA,C,AP,10-G1,0.1,2
CR,C,AP,10-G1,0.1,2
comb,C,AP,10-G1,0.2,4
MAG,A,AP,10-G1,0.7391304347826086,17
OA,A,AP,10-G1,0.6521739130434783,15
CR,A,AP,10-G1,0.43478260869565216,10
comb,A,AP,10-G1,0.8260869565217391,19
MAG,A,AP,13-D4,1.0,25
OA,A,AP,13-D4,0.96,24
CR,A,AP,13-D4,0.96,24
comb,A,AP,13-D4,1.0,25
MAG,A,AP,13-D4,0.9047619047619048,19
OA,A,AP,13-D4,0.8571428571428571,18
CR,A,AP,13-D4,0.5714285714285714,12
comb,A,AP,13-D4,1.0,21
MAG,A,AP,13-D4,1.0,16
OA,A,AP,13-D4,1.0,16
CR,A,AP,13-D4,0.9375,15
comb,A,AP,13-D4,1.0,16
MAG,A,AP,13-D4,0.6428571428571429,9
OA,A,AP,13-D4,0.6428571428571429,9
CR,A,AP,13-D4,0.6428571428571429,9
comb,A,AP,13-D4,0.7857142857142857,11
MAG,A,AP,13-D4,0.9285714285714286,13
OA,A,AP,13-D4,1.0,14
CR,A,AP,13-D4,1.0,14
comb,A,AP,13-D4,1.0,14
MAG,A,AP,13-D4,0.8181818181818182,9
OA,A,AP,13-D4,0.6363636363636364,7
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,0.75,6
OA,A,AP,13-D4,0.875,7
CR,A,AP,13-D4,0.875,7
comb,A,AP,13-D4,0.875,7
MAG,A,AP,13-D4,0.7058823529411765,12
OA,A,AP,13-D4,0.8823529411764706,15
CR,A,AP,13-D4,0.8823529411764706,15
comb,A,AP,13-D4,0.8823529411764706,15
MAG,A,AP,13-D4,1.0,21
OA,A,AP,13-D4,0.8571428571428571,18
CR,A,AP,13-D4,0.9047619047619048,19
comb,A,AP,13-D4,1.0,21
MAG,A,AP,13-D4,1.0,7
OA,A,AP,13-D4,1.0,7
CR,A,AP,13-D4,1.0,7
comb,A,AP,13-D4,1.0,7
MAG,A,AP,13-D4,1.0,9
OA,A,AP,13-D4,1.0,9
CR,A,AP,13-D4,1.0,9
comb,A,AP,13-D4,1.0,9
MAG,A,AP,13-D4,0.9090909090909091,30
OA,A,AP,13-D4,0.8484848484848485,28
CR,A,AP,13-D4,0.8181818181818182,27
comb,A,AP,13-D4,0.9090909090909091,30
MAG,A,AP,13-D4,0.9090909090909091,10
OA,A,AP,13-D4,0.9090909090909091,10
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,0.9090909090909091,10
MAG,A,AP,13-D4,0.85,17
OA,A,AP,13-D4,1.0,20
CR,A,AP,13-D4,1.0,20
comb,A,AP,13-D4,1.0,20
MAG,A,AP,13-D4,0.75,9
OA,A,AP,13-D4,1.0,12
CR,A,AP,13-D4,0.9166666666666666,11
comb,A,AP,13-D4,1.0,12
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,0.9,9
CR,A,AP,13-D4,0.8,8
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,1.0,9
OA,A,AP,13-D4,1.0,9
CR,A,AP,13-D4,1.0,9
comb,A,AP,13-D4,1.0,9
MAG,A,AP,13-D4,0.8571428571428571,6
OA,A,AP,13-D4,1.0,7
CR,A,AP,13-D4,1.0,7
comb,A,AP,13-D4,1.0,7
MAG,A,AP,13-D4,0.9333333333333333,14
OA,A,AP,13-D4,0.8666666666666667,13
CR,A,AP,13-D4,0.8666666666666667,13
comb,A,AP,13-D4,0.9333333333333333,14
MAG,A,AP,13-D4,1.0,4
OA,A,AP,13-D4,0.75,3
CR,A,AP,13-D4,0.75,3
comb,A,AP,13-D4,1.0,4
MAG,A,FP,10-G1,0.9795918367346939,48
OA,A,FP,10-G1,0.1836734693877551,9
CR,A,FP,10-G1,0.08163265306122448,4
comb,A,FP,10-G1,0.9795918367346939,48
MAG,B,FP,10-G1,0.5,8
OA,B,FP,10-G1,0.0,0
CR,B,FP,10-G1,0.0,0
comb,B,FP,10-G1,0.5,8
MAG,B,FP,10-G1,0.25806451612903225,8
OA,B,FP,10-G1,0.1935483870967742,6
CR,B,FP,10-G1,0.12903225806451613,4
comb,B,FP,10-G1,0.3548387096774194,11
MAG,A,FP,10-G1,0.8461538461538461,11
OA,A,FP,10-G1,0.7692307692307693,10
CR,A,FP,10-G1,0.6923076923076923,9
comb,A,FP,10-G1,1.0,13
MAG,A,FP,10-G1,0.7894736842105263,15
OA,A,FP,10-G1,0.42105263157894735,8
CR,A,FP,10-G1,0.21052631578947367,4
comb,A,FP,10-G1,0.8421052631578947,16
MAG,A,FP,10-G1,0.717948717948718,28
OA,A,FP,10-G1,0.41025641025641024,16
CR,A,FP,10-G1,0.38461538461538464,15
comb,A,FP,10-G1,0.717948717948718,28
MAG,B,FP,10-G1,0.2962962962962963,8
OA,B,FP,10-G1,0.3333333333333333,9
CR,B,FP,10-G1,0.18518518518518517,5
comb,B,FP,10-G1,0.37037037037037035,10
MAG,B,FP,10-G1,0.6296296296296297,17
OA,B,FP,10-G1,0.2222222222222222,6
CR,B,FP,10-G1,0.14814814814814814,4
comb,B,FP,10-G1,0.6296296296296297,17
MAG,A,FP,10-G1,0.6578947368421053,25
OA,A,FP,10-G1,0.8947368421052632,34
CR,A,FP,10-G1,0.34210526315789475,13
comb,A,FP,10-G1,0.7368421052631579,28
MAG,B,FP,10-G1,0.5238095238095238,11
OA,B,FP,10-G1,0.7619047619047619,16
CR,B,FP,10-G1,0.42857142857142855,9
comb,B,FP,10-G1,0.6190476190476191,13
MAG,B,FP,10-G1,0.4411764705882353,15
OA,B,FP,10-G1,0.08823529411764706,3
CR,B,FP,10-G1,0.029411764705882353,1
comb,B,FP,10-G1,0.4411764705882353,15
MAG,C,FP,10-G1,0.3225806451612903,10
OA,C,FP,10-G1,0.1935483870967742,6
CR,C,FP,10-G1,0.06451612903225806,2
comb,C,FP,10-G1,0.3870967741935484,12
MAG,A,FP,10-G1,0.75,12
OA,A,FP,10-G1,0.3125,5
CR,A,FP,10-G1,0.25,4
comb,A,FP,10-G1,0.75,12
MAG,B,FP,10-G1,0.5625,9
OA,B,FP,10-G1,0.3125,5
CR,B,FP,10-G1,0.25,4
comb,B,FP,10-G1,0.625,10
MAG,A,FP,10-G1,0.7777777777777778,28
OA,A,FP,10-G1,0.8333333333333334,30
CR,A,FP,10-G1,0.4722222222222222,17
comb,A,FP,10-G1,0.8611111111111112,31
MAG,B,FP,10-G1,0.15384615384615385,6
OA,B,FP,10-G1,0.05128205128205128,2
CR,B,FP,10-G1,0.07692307692307693,3
comb,B,FP,10-G1,0.1794871794871795,7
MAG,C,FP,10-G1,0.2,8
OA,C,FP,10-G1,0.075,3
CR,C,FP,10-G1,0.0,0
comb,C,FP,10-G1,0.2,8
MAG,C,FP,10-G1,0.23529411764705882,8
OA,C,FP,10-G1,0.14705882352941177,5
CR,C,FP,10-G1,0.11764705882352941,4
comb,C,FP,10-G1,0.2647058823529412,9
MAG,B,FP,10-G1,0.12,3
OA,B,FP,10-G1,0.04,1
CR,B,FP,10-G1,0.0,0
comb,B,FP,10-G1,0.12,3
MAG,A,FP,10-G1,0.71875,23
OA,A,FP,10-G1,0.15625,5
CR,A,FP,10-G1,0.0625,2
comb,A,FP,10-G1,0.71875,23
MAG,B,FP,10-G1,0.3,12
OA,B,FP,10-G1,0.425,17
CR,B,FP,10-G1,0.25,10
comb,B,FP,10-G1,0.45,18
MAG,B,FP,10-G1,0.6190476190476191,13
OA,B,FP,10-G1,0.0,0
CR,B,FP,10-G1,0.0,0
comb,B,FP,10-G1,0.6666666666666666,14
MAG,C,FP,10-G1,0.16666666666666666,4
OA,C,FP,10-G1,0.16666666666666666,4
CR,C,FP,10-G1,0.125,3
comb,C,FP,10-G1,0.20833333333333334,5
MAG,A,FP,10-G1,0.9210526315789473,35
OA,A,FP,10-G1,0.8421052631578947,32
CR,A,FP,10-G1,0.47368421052631576,18
comb,A,FP,10-G1,0.9210526315789473,35
MAG,A,FP,10-G1,0.6739130434782609,31
OA,A,FP,10-G1,0.9347826086956522,43
CR,A,FP,10-G1,0.30434782608695654,14
comb,A,FP,10-G1,0.7391304347826086,34
MAG,A,FP,10-G1,0.8378378378378378,31
OA,A,FP,10-G1,0.24324324324324326,9
CR,A,FP,10-G1,0.16216216216216217,6
comb,A,FP,10-G1,0.8378378378378378,31
MAG,C,FP,10-G1,0.13043478260869565,3
OA,C,FP,10-G1,0.13043478260869565,3
CR,C,FP,10-G1,0.13043478260869565,3
comb,C,FP,10-G1,0.21739130434782608,5
MAG,A,FP,10-G1,0.9259259259259259,25
OA,A,FP,10-G1,0.9259259259259259,25
CR,A,FP,10-G1,0.7407407407407407,20
comb,A,FP,10-G1,0.9629629629629629,26
MAG,C,FP,10-G1,0.12195121951219512,5
OA,C,FP,10-G1,0.07317073170731707,3
CR,C,FP,10-G1,0.07317073170731707,3
