dataset,cov_sect,role,field,coverage%,coverage
OA,A,FP,13-D4,0.3548387096774194,11
CR,A,FP,13-D4,0.3870967741935484,12
comb,A,FP,13-D4,0.7096774193548387,22
MAG,A,FP,13-D4,0.9090909090909091,30
OA,A,FP,13-D4,0.9393939393939394,31
CR,A,FP,13-D4,0.9090909090909091,30
comb,A,FP,13-D4,0.9696969696969697,32
MAG,B,FP,13-D4,0.6,9
OA,B,FP,13-D4,0.5333333333333333,8
CR,B,FP,13-D4,0.5333333333333333,8
comb,B,FP,13-D4,0.6,9
MAG,A,FP,13-D4,0.9333333333333333,14
OA,A,FP,13-D4,0.9333333333333333,14
CR,A,FP,13-D4,0.9333333333333333,14
comb,A,FP,13-D4,1.0,15
MAG,A,FP,13-D4,1.0,18
OA,A,FP,13-D4,0.7222222222222222,13
CR,A,FP,13-D4,0.9444444444444444,17
comb,A,FP,13-D4,1.0,18
MAG,A,FP,13-D4,0.8666666666666667,13
OA,A,FP,13-D4,0.8,12
CR,A,FP,13-D4,0.6666666666666666,10
comb,A,FP,13-D4,0.9333333333333333,14
MAG,A,FP,13-D4,0.3333333333333333,2
OA,A,FP,13-D4,1.0,6
CR,A,FP,13-D4,1.0,6
comb,A,FP,13-D4,1.0,6
MAG,A,FP,13-D4,0.8823529411764706,15
OA,A,FP,13-D4,0.8235294117647058,14
CR,A,FP,13-D4,0.7647058823529411,13
comb,A,FP,13-D4,1.0,17
MAG,A,FP,13-D4,0.8235294117647058,14
OA,A,FP,13-D4,0.9411764705882353,16
CR,A,FP,13-D4,0.8823529411764706,15
comb,A,FP,13-D4,0.8823529411764706,15
MAG,A,FP,13-D4,0.9230769230769231,36
OA,A,FP,13-D4,0.9487179487179487,37
CR,A,FP,13-D4,0.8461538461538461,33
comb,A,FP,13-D4,0.9487179487179487,37
MAG,A,FP,13-D4,0.625,65
OA,A,FP,13-D4,0.8173076923076923,85
CR,A,FP,13-D4,0.47115384615384615,49
comb,A,FP,13-D4,0.6634615384615384,69
MAG,A,FP,13-D4,0.9354838709677419,29
OA,A,FP,13-D4,0.7419354838709677,23
CR,A,FP,13-D4,0.6451612903225806,20
comb,A,FP,13-D4,0.967741935483871,30
MAG,A,FP,13-D4,0.9375,15
OA,A,FP,13-D4,0.9375,15
CR,A,FP,13-D4,0.8125,13
comb,A,FP,13-D4,0.9375,15
MAG,A,FP,13-D4,0.975609756097561,40
OA,A,FP,13-D4,1.0,41
CR,A,FP,13-D4,1.0,41
comb,A,FP,13-D4,1.0,41
MAG,A,FP,13-D4,0.875,14
OA,A,FP,13-D4,0.75,12
CR,A,FP,13-D4,1.0,16
comb,A,FP,13-D4,1.0,16
MAG,A,FP,13-D4,0.7352941176470589,25
OA,A,FP,13-D4,0.7941176470588235,27
CR,A,FP,13-D4,0.7352941176470589,25
comb,A,FP,13-D4,0.8235294117647058,28
MAG,A,FP,13-D4,0.9444444444444444,34
OA,A,FP,13-D4,0.8888888888888888,32
CR,A,FP,13-D4,0.9166666666666666,33
comb,A,FP,13-D4,1.0,36
MAG,A,FP,13-D4,0.875,14
OA,A,FP,13-D4,0.75,12
CR,A,FP,13-D4,0.75,12
comb,A,FP,13-D4,0.875,14
MAG,A,FP,13-D4,0.96875,31
OA,A,FP,13-D4,0.9375,30
CR,A,FP,13-D4,0.8125,26
comb,A,FP,13-D4,0.96875,31
MAG,A,FP,13-D4,0.9545454545454546,21
OA,A,FP,13-D4,1.0,22
CR,A,FP,13-D4,0.9090909090909091,20
comb,A,FP,13-D4,1.0,22
MAG,A,FP,13-D4,0.9545454545454546,21
OA,A,FP,13-D4,0.9545454545454546,21
CR,A,FP,13-D4,0.8636363636363636,19
comb,A,FP,13-D4,1.0,22
MAG,A,FP,13-D4,0.88,22
OA,A,FP,13-D4,0.68,17
CR,A,FP,13-D4,0.64,16
comb,A,FP,13-D4,0.88,22
MAG,A,FP,13-D4,1.0,19
OA,A,FP,13-D4,0.9473684210526315,18
CR,A,FP,13-D4,0.7368421052631579,14
comb,A,FP,13-D4,1.0,19
MAG,A,FP,13-D4,0.95,19
OA,A,FP,13-D4,1.0,20
CR,A,FP,13-D4,0.95,19
comb,A,FP,13-D4,0.95,19
MAG,A,FP,13-D4,0.8064516129032258,25
OA,A,FP,13-D4,0.5483870967741935,17
CR,A,FP,13-D4,0.45161290322580644,14
comb,A,FP,13-D4,0.8387096774193549,26
MAG,A,FP,13-D4,0.8947368421052632,17
OA,A,FP,13-D4,1.0,19
CR,A,FP,13-D4,1.0,19
comb,A,FP,13-D4,1.0,19
MAG,A,FP,13-D4,0.2857142857142857,2
OA,A,FP,13-D4,1.0,7
CR,A,FP,13-D4,1.0,7
comb,A,FP,13-D4,1.0,7
MAG,A,AP,10-G1,0.8571428571428571,12
OA,A,AP,10-G1,0.14285714285714285,2
CR,A,AP,10-G1,0.07142857142857142,1
comb,A,AP,10-G1,0.8571428571428571,12
MAG,A,AP,10-G1,0.8333333333333334,5
OA,A,AP,10-G1,0.6666666666666666,4
CR,A,AP,10-G1,0.5,3
comb,A,AP,10-G1,0.8333333333333334,5
MAG,A,AP,10-G1,1.0,34
OA,A,AP,10-G1,0.35294117647058826,12
CR,A,AP,10-G1,0.23529411764705882,8
comb,A,AP,10-G1,1.0,34
MAG,C,AP,10-G1,0.625,10
OA,C,AP,10-G1,0.375,6
CR,C,AP,10-G1,0.1875,3
comb,C,AP,10-G1,0.625,10
MAG,C,AP,10-G1,0.3333333333333333,8
OA,C,AP,10-G1,0.5833333333333334,14
CR,C,AP,10-G1,0.08333333333333333,2
comb,C,AP,10-G1,0.3333333333333333,8
MAG,B,AP,10-G1,0.6666666666666666,12
OA,B,AP,10-G1,0.16666666666666666,3
CR,B,AP,10-G1,0.16666666666666666,3
comb,B,AP,10-G1,0.6666666666666666,12
MAG,B,AP,10-G1,0.36363636363636365,8
OA,B,AP,10-G1,0.18181818181818182,4
CR,B,AP,10-G1,0.13636363636363635,3
comb,B,AP,10-G1,0.5,11
MAG,C,AP,10-G1,0.045454545454545456,1
OA,C,AP,10-G1,0.045454545454545456,1
CR,C,AP,10-G1,0.045454545454545456,1
comb,C,AP,10-G1,0.045454545454545456,1
MAG,C,AP,10-G1,0.09090909090909091,1
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.18181818181818182,2
MAG,A,AP,10-G1,0.8571428571428571,12
OA,A,AP,10-G1,0.7142857142857143,10
CR,A,AP,10-G1,0.35714285714285715,5
comb,A,AP,10-G1,1.0,14
MAG,A,AP,10-G1,1.0,14
OA,A,AP,10-G1,0.21428571428571427,3
CR,A,AP,10-G1,0.21428571428571427,3
comb,A,AP,10-G1,1.0,14
MAG,C,AP,10-G1,0.12121212121212122,4
OA,C,AP,10-G1,0.030303030303030304,1
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.15151515151515152,5
MAG,C,AP,10-G1,0.0,0
OA,C,AP,10-G1,0.0,0
