cov_sect,term,role,field,id,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
C,1,FP,10-G1,1476,4,3,1,7,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.14893617021276595,47
A,1,FP,10-G1,17564,17,3,0,17,0.53125,0.09375,0.0,0.53125,32
A,1,FP,10-G1,24904,30,21,18,32,0.6976744186046512,0.4883720930232558,0.4186046511627907,0.7441860465116279,43
C,1,FP,10-G1,26965,6,1,1,6,0.14634146341463414,0.024390243902439025,0.024390243902439025,0.14634146341463414,41
A,1,FP,10-G1,29230,30,15,5,31,0.7692307692307693,0.38461538461538464,0.1282051282051282,0.7948717948717948,39
C,1,FP,10-G1,30306,2,1,0,2,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,21
B,1,FP,10-G1,30919,12,3,4,15,0.48,0.12,0.16,0.6,25
C,1,FP,10-G1,32497,3,1,0,3,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,21
A,1,FP,10-G1,32871,27,7,3,27,0.6428571428571429,0.16666666666666666,0.07142857142857142,0.6428571428571429,42
A,1,FP,10-G1,33588,21,14,8,22,0.5,0.3333333333333333,0.19047619047619047,0.5238095238095238,42
C,1,FP,10-G1,7333,10,7,5,12,0.3448275862068966,0.2413793103448276,0.1724137931034483,0.41379310344827586,29
A,1,FP,10-G1,9091,30,25,15,30,0.967741935483871,0.8064516129032258,0.4838709677419355,0.967741935483871,31
A,1,FP,13-D4,10089,11,8,12,12,0.9166666666666666,0.6666666666666666,1.0,1.0,12
A,1,FP,13-D4,10499,47,43,39,47,0.9591836734693877,0.8775510204081632,0.7959183673469388,0.9591836734693877,49
A,1,FP,13-D4,11434,24,25,25,25,0.96,1.0,1.0,1.0,25
A,1,FP,13-D4,11782,33,31,31,35,0.9428571428571428,0.8857142857142857,0.8857142857142857,1.0,35
A,1,FP,13-D4,12497,21,22,19,21,0.9130434782608695,0.9565217391304348,0.8260869565217391,0.9130434782608695,23
A,1,FP,13-D4,1437,39,33,31,39,0.9285714285714286,0.7857142857142857,0.7380952380952381,0.9285714285714286,42
A,1,FP,13-D4,15400,19,19,19,20,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,21
A,1,FP,13-D4,17121,33,31,27,33,0.9705882352941176,0.9117647058823529,0.7941176470588235,0.9705882352941176,34
A,1,FP,13-D4,17369,66,60,53,69,0.9428571428571428,0.8571428571428571,0.7571428571428571,0.9857142857142858,70
A,1,FP,13-D4,19050,51,62,42,54,0.4636363636363636,0.5636363636363636,0.38181818181818183,0.4909090909090909,110
A,1,FP,13-D4,19381,15,14,15,15,1.0,0.9333333333333333,1.0,1.0,15
A,1,FP,13-D4,1951,11,9,9,13,0.7333333333333333,0.6,0.6,0.8666666666666667,15
A,1,FP,13-D4,19549,26,31,36,39,0.65,0.775,0.9,0.975,40
A,1,FP,13-D4,22132,25,22,24,25,0.9615384615384616,0.8461538461538461,0.9230769230769231,0.9615384615384616,26
A,1,FP,13-D4,23287,34,25,21,36,0.8717948717948718,0.6410256410256411,0.5384615384615384,0.9230769230769231,39
A,1,FP,13-D4,23470,23,25,23,25,0.7666666666666667,0.8333333333333334,0.7666666666666667,0.8333333333333334,30
